Utilization,Number_of_tasks,Total missed,Total killed,Weakly hard,Task_1 missed,Task_2 missed,Task_3 missed,Task_4 missed,Task_5 missed,Task_1 killed,Task_2 killed,Task_3 killed,Task_4 killed,Task_5 killed
0.900000,5,0,0,0,0,0,0,0,0,0,0,0,0,0
0.910000,5,0,0,1,0,0,0,0,0,0,0,0,0,0
0.920000,5,0,0,1,0,0,0,0,0,0,0,0,0,0
0.930000,5,0,0,1,0,0,0,0,0,0,0,0,0,0
0.940000,5,0,0,1,0,0,0,0,0,0,0,0,0,0
0.950000,5,0,0,1,0,0,0,0,0,0,0,0,0,0
0.960000,5,0,0,0,0,0,0,0,0,0,0,0,0,0
0.970000,5,0,0,0,0,0,0,0,0,0,0,0,0,0
0.980000,5,0,0,0,0,0,0,0,0,0,0,0,0,0
0.990000,5,1,0,0,0,0,0,0,1,0,0,0,0,0
1.000000,5,0,0,1,0,0,0,0,0,0,0,0,0,0
1.010000,5,10,6,0,0,0,0,0,10,0,0,0,0,6
1.020000,5,9,6,0,0,0,0,0,9,0,0,0,0,6
1.030000,5,12,8,0,0,0,0,0,12,0,0,0,0,8
1.040000,5,13,8,0,0,0,0,0,13,0,0,0,0,8
1.050000,5,18,14,0,0,0,0,0,18,0,0,0,0,14
1.060000,5,17,15,0,0,0,0,0,17,0,0,0,0,15
1.070000,5,29,25,0,0,0,0,0,29,0,0,0,0,25
1.080000,5,28,25,0,0,0,0,0,28,0,0,0,0,25
1.090000,5,34,29,0,0,0,0,0,34,0,0,0,0,29
1.100000,5,33,29,0,0,0,0,0,33,0,0,0,0,29
